C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-00,59 ST,NQR456,BMT,05/17/2016,00:00:00,REGULAR,0000700109,0002645264                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/17/2016,04:00:00,REGULAR,0000700111,0002645269                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/17/2016,07:42:01,REGULAR,0000700124,0002645487                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/17/2016,08:00:00,REGULAR,0000700126,0002645574                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/17/2016,12:00:00,REGULAR,0000700171,0002646384                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/17/2016,16:00:00,REGULAR,0000700306,0002646817                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/17/2016,20:00:00,REGULAR,0000700668,0002647588                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/18/2016,00:00:00,REGULAR,0000700777,0002647823                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/18/2016,04:00:00,REGULAR,0000700784,0002647837                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/18/2016,08:00:00,REGULAR,0000700804,0002648141                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/18/2016,12:00:00,REGULAR,0000700883,0002648994                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/18/2016,16:00:00,REGULAR,0000700997,0002649447                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/18/2016,20:00:00,REGULAR,0000701367,0002650228                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/19/2016,00:00:00,REGULAR,0000701492,0002650423                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/19/2016,04:00:00,REGULAR,0000701498,0002650439                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/19/2016,08:00:00,REGULAR,0000701514,0002650735                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/19/2016,12:00:00,REGULAR,0000701590,0002651564                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/19/2016,16:00:00,REGULAR,0000701712,0002652024                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/19/2016,20:00:00,REGULAR,0000702063,0002652718                                             
A002,R051,02-03-00,59 ST,NQR456,BMT,05/20/2016,00:00:00,REGULAR,0000702207,0002652944                                             
